date,fivepm,ninepm,twopm
2012-12-26,958.0,238.0,268.0
2012-12-27,923.0,241.0,464.0
2012-12-28,386.0,625.0,845.0
2018-11-10,303.0,146.0,5.0
2018-11-11,272.0,458.0,814.0
2018-11-12,49.0,259.0,933.0
2018-11-13,774.0,242.0,34.0
2015-10-21,682.0,375.0,451.0
2015-10-22,287.0,44.0,532.0
2015-10-23,111.0,210.0,289.0
2015-10-24,390.0,780.0,561.0
2015-10-25,257.0,374.0,499.0
2015-10-26,270.0,437.0,120.0
2015-10-27,214.0,732.0,820.0
2012-12-29,919.0,836.0,677.0
2012-12-30,312.0,330.0,96.0
2012-12-31,766.0,160.0,549.0
2018-11-14,761.0,926.0,280.0
2018-11-15,493.0,418.0,546.0
2018-11-16,730.0,389.0,888.0
2018-11-17,484.0,371.0,965.0
2018-11-18,187.0,248.0,322.0
2018-11-19,249.0,536.0,605.0
2018-11-20,372.0,288.0,813.0
2018-11-21,112.0,327.0,299.0
2018-11-22,495.0,364.0,839.0
2018-11-23,15.0,494.0,211.0
2018-11-24,884.0,327.0,416.0
2015-10-28,59.0,569.0,645.0
2015-10-29,510.0,519.0,601.0
2015-10-30,881.0,724.0,325.0
2015-10-31,564.0,950.0,197.0
2018-11-25,286.0,974.0,853.0
2018-11-26,513.0,325.0,491.0
2018-11-27,737.0,757.0,985.0
2018-11-28,464.0,659.0,742.0
2018-11-29,258.0,631.0,16.0
2018-11-30,731.0,682.0,484.0
2015-11-10,915.0,715.0,854.0
2015-11-11,314.0,488.0,910.0
2015-11-12,154.0,677.0,605.0
2015-11-13,885.0,471.0,429.0
2015-11-14,212.0,219.0,847.0
2015-11-15,505.0,832.0,348.0
2015-11-16,896.0,751.0,904.0
2015-11-17,606.0,165.0,633.0
2015-11-18,523.0,166.0,190.0
2015-11-19,616.0,14.0,667.0
2015-11-20,502.0,918.0,988.0
2015-11-21,676.0,217.0,153.0
2015-11-22,84.0,569.0,252.0
2015-11-23,240.0,280.0,827.0
2015-11-24,98.0,341.0,905.0
2015-11-25,657.0,23.0,552.0
2015-11-26,738.0,8.0,966.0
2015-11-27,993.0,871.0,615.0
2015-11-28,816.0,536.0,952.0
2015-11-29,834.0,830.0,626.0
2015-11-30,862.0,502.0,809.0
2018-12-10,130.0,254.0,400.0
2018-12-11,563.0,286.0,764.0
2018-12-12,917.0,733.0,321.0
2018-12-13,384.0,432.0,318.0
2018-12-14,541.0,140.0,333.0
2018-12-15,468.0,117.0,972.0
2018-12-16,300.0,613.0,486.0
2018-12-17,875.0,171.0,546.0
2018-12-18,304.0,844.0,897.0
2018-12-19,691.0,543.0,98.0
2018-12-20,1.0,750.0,113.0
2018-12-21,672.0,506.0,609.0
2018-12-22,202.0,640.0,489.0
2018-12-23,159.0,704.0,264.0
2018-12-24,801.0,428.0,26.0
2018-12-25,,,
2018-12-26,981.0,912.0,230.0
2018-12-27,358.0,35.0,621.0
2015-12-10,935.0,32.0,469.0
2015-12-11,60.0,805.0,652.0
2015-12-12,103.0,386.0,547.0
2015-12-13,266.0,891.0,752.0
2015-12-14,734.0,754.0,801.0
2015-12-15,888.0,360.0,474.0
2015-12-16,882.0,76.0,138.0
2015-12-17,477.0,669.0,72.0
2015-12-18,580.0,669.0,233.0
2015-12-19,559.0,226.0,721.0
2015-12-20,900.0,206.0,81.0
2018-12-28,433.0,653.0,591.0
2018-12-29,303.0,626.0,157.0
2018-12-30,703.0,733.0,368.0
2018-12-31,976.0,928.0,517.0
2015-12-21,902.0,932.0,421.0
2015-12-22,783.0,907.0,218.0
2015-12-23,910.0,413.0,873.0
2015-12-24,141.0,564.0,523.0
2015-12-26,783.0,11.0,133.0
2015-12-27,189.0,622.0,687.0
2015-12-28,862.0,428.0,566.0
2015-12-29,201.0,322.0,309.0
2015-12-30,85.0,178.0,925.0
2015-12-31,461.0,495.0,857.0
